000:05:14.479,Info,Arena,1,Exit_Zone,4
000:05:14.479,Info,Arena,1,Enter_Zone,1
000:05:14.777,Info,Arena,1,Exit_Zone,1
000:05:14.777,Info,Arena,1,Enter_Zone,4
000:05:15.676,Info,Arena,1,Exit_Zone,4
000:05:15.676,Info,Arena,1,Enter_Zone,3
000:05:17.214,Info,Arena,1,Exit_Zone,3
000:05:17.214,Info,Arena,1,Enter_Zone,4
000:05:17.842,Info,Arena,1,Exit_Zone,4
000:05:17.842,Info,Arena,1,Enter_Zone,2
000:05:17.909,Info,Arena,1,Exit_Zone,2
000:05:17.909,Info,Arena,1,Enter_Zone,4
000:05:18.214,Info,Arena,1,Exit_Zone,4
000:05:18.214,Info,Arena,1,Enter_Zone,1
000:05:18.411,Info,Arena,2,Exit_Zone,3
000:05:18.411,Info,Arena,2,Enter_Zone,4
000:05:18.713,Info,Arena,2,Exit_Zone,4
000:05:18.713,Info,Arena,2,Enter_Zone,1
000:05:21.308,Info,Arena,2,Exit_Zone,1
000:05:21.308,Info,Arena,2,Enter_Zone,4
000:05:21.742,Info,Arena,2,Exit_Zone,4
000:05:21.742,Info,Arena,2,Enter_Zone,2
000:05:22.641,Info,Arena,1,Exit_Zone,1
000:05:22.641,Info,Arena,1,Enter_Zone,4
000:05:23.545,Info,Arena,1,Exit_Zone,4
000:05:23.545,Info,Arena,1,Enter_Zone,3
000:05:26.574,Info,Arena,1,Exit_Zone,3
000:05:26.574,Info,Arena,1,Enter_Zone,4
000:05:27.608,Info,Arena,1,Exit_Zone,4
000:05:27.608,Info,Arena,1,Enter_Zone,3
000:05:28.008,Info,Arena,1,Exit_Zone,3
000:05:28.008,Info,Arena,1,Enter_Zone,4
000:05:29.044,Info,Arena,2,Exit_Zone,2
000:05:29.044,Info,Arena,2,Enter_Zone,4
000:05:29.408,Info,Arena,1,Exit_Zone,4
000:05:29.408,Info,Arena,1,Enter_Zone,2
000:05:29.573,Info,Arena,2,Exit_Zone,4
000:05:29.573,Info,Arena,2,Enter_Zone,1
000:05:33.273,Info,Arena,2,Exit_Zone,1
000:05:33.273,Info,Arena,2,Enter_Zone,4
000:05:33.673,Info,Arena,2,Exit_Zone,4
000:05:33.673,Info,Arena,2,Enter_Zone,3
000:05:36.439,Info,Arena,2,Exit_Zone,3
000:05:36.439,Info,Arena,2,Enter_Zone,4
000:05:36.876,Info,Arena,2,Exit_Zone,4
000:05:36.876,Info,Arena,2,Enter_Zone,2
000:05:40.238,Info,Arena,2,Exit_Zone,2
000:05:40.238,Info,Arena,2,Enter_Zone,4
